tittle,instructor,date
Selenium WebDriver with Python Crash Course,Admas Kinfu,2021-07-25
Master Web Scraping with Python,Sats Sehgal,2021-07-25
Apache Airflow: The Hands-On Guide,Marc Lamberti,2021-07-25
The Complete Hands-On Introduction to Apache Airflow,Marc Lamberti,2021-07-25
MongoDB Essentials - Understand the Basics of MongoDB,Patrick Schroeder,2021-07-25
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,Colt Steele,2021-07-25
DOCKER | Step by Step for Beginners | with Sample Project,Raghav Pal,2021-07-25
Apache Kafka for Beginners - Learn Kafka by Hands-On,Pragmatic Code School,2021-07-25
Python: Everything you need to know to become a developer,Experts with David Bombal,2021-07-25
Production Ready Kubernetes setup for CI/CD - DevOps project,Praveen Kumar,2021-07-25
Kubernetes Made Easy,Srinath Challa,2021-07-25
Apache Airflow on AWS EKS: The Hands-On Guide,Marc Lamberti,2021-07-25
Scala & Functional Programming for Beginners | Rock the JVM,Daniel Ciocîrlan,2021-07-25
Spark 3.0 & Big Data Essentials with Scala | Rock the JVM,Daniel Ciocîrlan,2021-07-25
Advanced Scala and Functional Programming | Rock the JVM,Daniel Ciocîrlan,2021-07-25
Deep Learning A-Z™: Hands-On Artificial Neural Networks,Kirill Eremenko,2021-07-25
Artificial Intelligence A-Z™: Learn How To Build An AI,Hadelin de Ponteves,2021-07-25
User Experience (UX) Fundamentals,Susan Weinschenk,2021-07-25
Fundamentals of User Interface Design,Ahmet Efeoğlu,2021-07-25
Figma UI/UX design in one hour,Sivaram Nalliboyana,2021-07-25
How to Start a Startup / Business,Julien Meyer,2021-07-25
Learn Kubernetes Docker/DevOps and helm charts from scratch,Jan Toth,2021-07-25
Deep Learning and NLP A-Z™: How to create a ChatBot,Hadelin de Ponteves,2021-07-25
Object Oriented Programming Using Java and Intellij Hands-On,Faisal Memon,2021-07-25
Java Programming: Complete Beginner to Advanced,CodeIn Academy,2021-07-25
Logistic Regression Practical Case Study,Hadelin de Ponteves,2021-07-25
Interactive Python Dashboards with Plotly and Dash,Jose Portilla,2021-07-25
C++ Tutorial for Complete Beginners,John Purcell,2021-07-25
Data Structures & Algorithms !,DS Guy,2021-07-25
Build and Deploy a LAMP server on AWS,Vishu Kamble,2021-07-25
Selenium Webdriver: What are Implicit and Explicit Waits,Nikolay Advolodkin,2021-07-25
Java Tutorial for Complete Beginners,John Purcell,2021-07-25
Scala and Spark 2 - Getting Started,Durga Viswanatha Raju Gadiraju,2021-07-25
Scratch Game Programming for Young Adults,"Al Sweigart, Software developer",2021-07-25
Getting Started with Apache Flink,Inflame Tech,2021-07-25
AngularJS 1.0 Masterclass - Deep Dive & Understand AngularJS,Sandip Gautam,2021-07-25
Learn BERT - most powerful NLP algorithm by Google,Martin Jocqueviel,2021-07-25
Learn and Understand D3.js for Data Visualization,Luis Ramirez Jr,2021-07-25
"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",Hadelin de Ponteves,2021-07-25
Apache Airflow using Google Cloud Composer: Introduction,"Guha Rajan M., B.Engg",2021-07-25
Apache Airflow | A Real-Time & Hands-On Course on Airflow,A to Z Mentors,2021-07-25
A to Z (NLP) Machine Learning Model building and Deployment.,Mohammed Rijwan,2021-07-25
Data Science: Natural Language Processing (NLP) in Python,Lazy Programmer Inc.,2021-07-25
Natural Language Processing with Deep Learning in Python,Lazy Programmer Team,2021-07-25
Data Science A-Z™: Real-Life Data Science Exercises Included,Kirill Eremenko,2021-07-25
Regex Academy: An Introduction To Text Parsing Sorcery,geek alicious,2021-07-25
The Ultimate Hands-On Hadoop: Tame your Big Data!,Sundog Education by Frank Kane,2021-07-25
Data Processing with Logstash (and Filebeat),Bo Andersen,2021-07-25
"Complete ElasticSearch with LogStash, Hive, Pig, MR & Kibana",DataShark Academy,2021-07-25
Getting Started with Elasticsearch,Sezin Karli,2021-07-25
"AWS DevOps CI/CD - CodePipeline, Elastic Beanstalk and Mocha",BackSpace Academy,2021-07-25
Master Big Data - Apache Spark/Hadoop/Sqoop/Hive/Flume,Navdeep Kaur,2021-07-25
Wordpress for Web Development,Framework Television Inc.,2021-07-25
Building a Ruby on Rails Application with Neo4j,Brian Underwood,2021-07-25
OrientDB - Getting Started with Graph and Document Databases,OrientDB Team,2021-07-25
Learn Devops Kubernetes deployment by kops and terraform,Jan Toth,2021-07-25
Build a Streaming Twitter Filter with Python and Redis,Ty Shaikh,2021-07-25
Getting Started as a Web Developer,RefactorU LLC,2021-07-25
Javascript for Beginner Boot up Skill Solve 30 Problems,Tan Pham,2021-07-25
Flask Tutorial Step by Step,Santiago Basulto,2021-07-25
Kubernetes: Getting Started,Srinath Challa,2021-07-25
Scala and Spark for Big Data and Machine Learning,Jose Portilla,2021-07-25
GCP: Complete Google Data Engineer and Cloud Architect Guide,"Loony Corn, An ex-Google",2021-07-25
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko,2021-07-25
Shopify eCommerce Cash Machine,Jennie Campbell,2021-07-25
Linux Fundamentals for IT Professionals,Durga Viswanatha Raju Gadiraju,2021-07-25
Deep Learning Prerequisites: The Numpy Stack in Python (V2+),Lazy Programmer Inc.,2021-07-25
Python eCommerce | Build a Django eCommerce Web Application,Justin Mitchel,2021-07-25
Apache Spark Streaming with Python and PySpark,Level Up Big Data Program,2021-07-25
Cloudera CCA 175 Spark Developer Certification: Hadoop Based,Dhruv Bais,2021-07-25
Apache SQOOP for Big Data Hadoop Beginners,DataShark Academy,2021-07-25
Spark Starter Kit,Hadoop In Real World,2021-07-25
